First Name,Last Name,Email,Moodle Id ,Department,Password
Rahul 1,Yadav,yadavrahul8141@yahoo.com,20104093,IT,12345
Rahul 2,Yadav,yadavrahulk6.9@gmail.com,20104094,IT,12345
Rahul 3,Yadav,yadavrahul8141@yahoo.com,20104095,IT,12345
Rahul 4,Yadav,yadavrahulk6.9@gmail.com,20104096,IT,12345
Rahul 5,Yadav,yadavrahul8141@yahoo.com,20104097,IT,12345
Rahul 6,Yadav,yadavrahulk6.9@gmail.com,20104098,IT,12345
Rahul 7,Yadav,yadavrahul8141@yahoo.com,20104099,IT,12345
Rahul 8,Yadav,yadavrahulk6.9@gmail.com,20104100,IT,12345
Rahul 9,Yadav,yadavrahul8141@yahoo.com,20104101,IT,12345
Rahul 10,Yadav,yadavrahulk6.9@gmail.com,20104102,IT,12345
Rahul 11,Yadav,yadavrahul8141@yahoo.com,20104103,IT,12345
Rahul 12,Yadav,yadavrahulk6.9@gmail.com,20104104,IT,12345
Rahul 13,Yadav,yadavrahul8141@yahoo.com,20104105,IT,12345
Rahul 14,Yadav,yadavrahulk6.9@gmail.com,20104106,IT,12345
Rahul 15,Yadav,yadavrahul8141@yahoo.com,20104107,IT,12345
Rahul 16,Yadav,yadavrahulk6.9@gmail.com,20104108,IT,12345
Rahul 17,Yadav,yadavrahul8141@yahoo.com,20104109,IT,12345
Rahul 18,Yadav,yadavrahulk6.9@gmail.com,20104110,IT,12345
Rahul 19,Yadav,yadavrahul8141@yahoo.com,20104111,IT,12345
Rahul 20,Yadav,yadavrahulk6.9@gmail.com,20104112,IT,12345
Rahul 21,Yadav,yadavrahul8141@yahoo.com,20104113,IT,12345
Rahul 22,Yadav,yadavrahulk6.9@gmail.com,20104114,IT,12345
Rahul 23,Yadav,yadavrahul8141@yahoo.com,20104115,IT,12345
Rahul 24,Yadav,yadavrahulk6.9@gmail.com,20104116,IT,12345
Rahul 25,Yadav,yadavrahul8141@yahoo.com,20104117,IT,12345
Rahul 26,Yadav,yadavrahulk6.9@gmail.com,20104118,IT,12345
Rahul 27,Yadav,yadavrahul8141@yahoo.com,20104119,IT,12345
Rahul 28,Yadav,yadavrahulk6.9@gmail.com,20104120,IT,12345
Rahul 29,Yadav,yadavrahul8141@yahoo.com,20104121,IT,12345
